timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
37,-98.83,37,0,0,1,9.566,0.0,2486.0,0.6728
76,-100.33,39,0,0,1,6.683,0.0,2677.1,0.6833
168,-103.01,92,0,0,1,4.329,0.0,3886.2,0.5475
225,-104.68,57,0,0,1,2.756,0.0,4822.0,0.7272
296,-101.72,71,0,0,1,5.285,0.0,238.5,0.6527
368,-102.68,72,0,0,1,4.24,0.0,814.3,0.6584
482,-101.23,114,0,0,1,5.995,0.0,4328.4,0.6113
544,-104.79,62,0,0,1,2.796,0.0,4820.1,0.6832
576,-96.77,32,0,0,1,16.697,0.0625,1410.8,0.773
629,-102.21,53,0,0,1,3.989,0.0,1611.3,0.5567
757,-101.85,128,0,0,1,6.496,0.0078,4606.8,0.7421
781,-98.12,24,0,0,1,13.385,0.0,2194.9,0.6478
834,-101.67,53,0,0,1,4.945,0.0,1484.6,0.6525
868,-99.2,34,0,0,1,7.875,0.0,4255.7,0.6138
967,-102.11,99,0,0,1,5.337,0.0,1455.9,0.7169
1025,-103.72,58,0,0,1,3.665,0.0,2106.8,0.6491
1038,-98.94,13,0,0,1,13.151,0.0,3289.2,0.5841
1098,-103.07,60,0,0,1,3.534,0.0,2883.7,0.6618
1198,-99.11,100,0,0,1,7.233,0.0,628.2,0.5647
1242,-101.79,44,0,0,1,4.984,0.0,167.8,0.7648
1282,-100.45,40,0,0,1,6.498,0.0,4446.3,0.6155
1328,-97.63,46,0,0,1,12.316,0.0217,3912.3,0.6995
1353,-98.64,25,0,0,1,11.832,0.0,4301.7,0.6791
1389,-100.59,36,0,0,1,7.744,0.0278,2843.4,0.7638
1407,-98.38,18,0,0,1,15.668,0.0,4197.3,0.7535
1457,-97.16,50,0,0,1,10.89,0.0,1754.3,0.5998
1480,-98.77,23,0,0,1,11.628,0.0,2338.8,0.6879
1509,-99.98,29,0,0,1,8.424,0.0,4033.0,0.6974
1681,-96.57,172,0,0,1,8.636,0.0,1000.4,0.6715
1702,-101.45,21,0,0,1,7.602,0.0,1562.4,0.808
1739,-101.14,37,0,0,1,6.019,0.0,683.1,0.6338
1812,-99.57,73,0,0,1,7.141,0.0,2404.3,0.5871
1874,-100.76,62,0,0,1,7.503,0.0,4993.9,0.7087
1910,-98.04,36,0,0,1,12.682,0.0,789.6,0.763
1999,-102.45,89,0,0,1,5.155,0.0,2038.9,0.6368
2055,-101.66,56,0,0,1,6.084,0.0,2120.1,0.6013
2108,-98.78,53,0,0,1,9.467,0.0,4682.5,0.6956
2133,-95.96,25,0,0,1,15.272,0.0,1190.6,0.6423
2219,-100.02,86,0,0,1,7.29,0.0,2708.0,0.7009
2252,-98.73,33,0,0,1,10.105,0.0,1428.4,0.6009
2317,-102.79,65,0,0,1,3.874,0.0,127.1,0.6671
2374,-98.64,57,0,0,1,9.295,0.0,3886.5,0.6422
2446,-97.01,72,0,0,1,10.786,0.0139,496.2,0.6513
2525,-102.19,79,0,0,1,6.225,0.0,1562.4,0.6573
2569,-97.45,44,0,0,1,11.78,0.0,2664.7,0.6349
2639,-100.36,70,0,0,1,6.556,0.0,2580.0,0.5981
2798,-105.23,159,0,0,1,4.716,0.0,774.6,0.6751
2825,-100.09,27,0,0,1,8.604,0.0,4971.4,0.6385
2879,-101.08,54,0,0,1,5.101,0.0,3823.0,0.6123
2974,-127.94,95,1,0,1,8.555,0.0,5041.5,0.758
3018,-101.69,44,0,0,1,6.022,0.0,1562.4,0.5592
3059,-98.21,41,0,0,1,11.622,0.0244,2912.3,0.7928
3118,-102.72,59,0,0,1,3.671,0.0,4731.3,0.6302
3171,-100.27,53,0,0,1,6.722,0.0,1524.6,0.6314
