timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
28,-99.64,28,0,0,1,10.747,0.0,4361.3,0.5247
94,-103.59,66,0,0,1,5.638,0.0,3309.8,0.6641
122,-99.08,28,0,0,1,10.752,0.0,2692.3,0.552
184,-103.48,62,0,0,1,6.45,0.0,1487.9,0.7726
224,-103.58,40,0,0,1,4.382,0.0,1587.0,0.6522
348,-106.0,124,0,0,1,6.644,0.0,387.7,0.7429
383,-101.15,35,0,0,1,8.428,0.0,459.5,0.6812
446,-101.12,63,0,0,1,8.389,0.0,181.6,0.6848
521,-105.7,75,0,0,1,4.251,0.0,987.5,0.6813
570,-105.36,49,0,0,1,3.618,0.0,4142.5,0.8724
603,-101.86,33,0,0,1,9.01,0.0909,3342.2,0.6368
729,-108.52,126,0,0,1,4.372,0.0,4766.5,0.68
768,-97.08,39,0,0,1,14.487,0.0,2711.7,0.5869
820,-104.57,52,0,0,1,3.83,0.0,3135.3,0.7053
885,-103.48,65,0,0,1,6.491,0.0,4975.0,0.7925
935,-103.27,50,0,0,1,4.357,0.0,3677.4,0.539
961,-100.92,26,0,0,1,7.102,0.0,3249.3,0.5736
1043,-101.21,82,0,0,1,8.497,0.0,2971.1,0.627
1137,-104.89,94,0,0,1,7.086,0.0,3035.7,0.7333
1197,-104.18,60,0,0,1,5.559,0.0,4814.8,0.6692
1315,-107.37,118,0,0,1,5.355,0.0,1579.4,0.6713
1368,-101.54,53,0,0,1,6.757,0.0,4210.3,0.6018
1473,-107.03,105,0,0,1,5.213,0.0,3529.2,0.6682
1532,-101.85,59,0,0,1,7.794,0.0169,114.9,0.6336
1659,-110.33,127,0,0,1,3.068,0.0,2128.9,0.7593
1676,-100.08,17,0,0,1,11.142,0.0,4373.2,0.8929
1751,-102.18,75,0,0,1,8.04,0.0,2999.8,0.66
1779,-101.4,28,0,0,1,6.818,0.0,192.9,0.7456
1806,-99.79,27,0,0,1,10.768,0.0,3909.7,0.7786
1944,-109.42,138,0,0,1,4.693,0.0,3784.3,0.6799
2006,-104.08,62,0,0,1,4.854,0.0,4343.1,0.7172
2052,-101.54,46,0,0,1,6.694,0.0,988.5,0.592
2228,-105.93,176,0,0,1,7.182,0.0,753.7,0.6522
2271,-99.67,43,0,0,1,11.48,0.0,4480.8,0.7031
2293,-99.11,22,0,0,1,14.599,0.0,149.7,0.7234
2393,-107.71,100,0,0,1,3.606,0.0,2882.8,0.6481
2447,-100.12,54,0,0,1,10.298,0.0,558.5,0.7443
2487,-103.64,40,0,0,1,5.695,0.0,1567.2,0.7147
2503,-99.42,16,0,0,1,11.636,0.0,2486.0,0.5022
2615,-101.34,112,0,0,1,8.234,0.0,2341.1,0.5975
2673,-104.12,58,0,0,1,5.403,0.0,2113.9,0.6351
2778,-108.02,105,0,0,1,4.04,0.0,222.7,0.6884
2842,-101.0,64,0,0,1,7.449,0.0,135.8,0.5944
2880,-102.29,38,0,0,1,6.22,0.0,690.0,0.692
2920,-102.81,40,0,0,1,5.619,0.0,72.0,0.7961
2968,-102.53,48,0,0,1,7.118,0.0,3486.6,0.7448
3026,-101.82,58,0,0,1,7.194,0.0,2809.6,0.6757
3048,-100.39,22,0,0,1,9.993,0.0,3307.5,0.751
3085,-100.41,37,0,0,1,10.49,0.0,1413.7,0.8931
3122,-101.03,37,0,0,1,8.941,0.0,3216.6,0.5417
3162,-98.15,40,0,0,1,11.443,0.0,3954.6,0.5291
3226,-104.98,64,0,0,1,4.269,0.0,1999.0,0.7275
3290,-103.31,64,0,0,1,5.237,0.0,2401.1,0.5816
3340,-134.5,50,1,0,1,3.525,0.0,5013.5,0.6085
3383,-101.88,43,0,0,1,8.539,0.0233,1982.9,0.7303
3457,-106.83,74,0,0,1,4.131,0.0,3534.8,0.6938
3471,-100.7,14,0,0,1,10.776,0.0,4820.1,0.4089
3531,-95.14,60,0,0,1,18.169,0.0,3523.5,0.7436
3647,-106.27,116,0,0,1,5.391,0.0,4396.0,0.6552
3684,-102.77,37,0,0,1,7.316,0.0,3534.8,0.7681
3759,-100.24,75,0,0,1,9.499,0.0,3696.2,0.6142
3874,-105.67,115,0,0,1,6.063,0.0,2120.1,0.63
3953,-105.39,79,0,0,1,4.98,0.0,4528.1,0.6555
3985,-101.22,32,0,0,1,8.665,0.0312,757.4,0.6151
4006,-101.27,21,0,0,1,10.954,0.0,3035.7,0.8562
4030,-99.11,24,0,0,1,13.748,0.0,3663.8,0.6191
4065,-100.56,35,0,0,1,7.671,0.0,4330.2,0.5346
4114,-101.73,49,0,0,1,8.005,0.0204,2799.6,0.6808
4179,-100.84,65,0,0,1,8.881,0.0,2032.5,0.732
4237,-104.03,58,0,0,1,3.885,0.0,1619.7,0.5909
4299,-104.97,62,0,0,1,3.883,0.0,2173.0,0.6713
4336,-101.85,37,0,0,1,7.221,0.0,2530.4,0.7746
4456,-110.98,120,0,0,1,3.287,0.0,3668.4,0.7084
4498,-96.72,42,0,0,1,19.12,0.0714,4684.2,0.6646
4609,-105.28,111,0,0,1,9.142,0.0721,628.2,0.7169
4665,-102.29,56,0,0,1,7.691,0.0,4820.1,0.615
4760,-103.06,95,0,0,1,6.789,0.0,2897.6,0.6448
4773,-98.84,13,0,0,1,15.94,0.0,1828.6,0.4556
4858,-105.67,85,0,0,1,5.97,0.0,3529.2,0.7123
4904,-101.8,46,0,0,1,8.142,0.0,3036.4,0.5928
4931,-99.7,27,0,0,1,9.618,0.0,1366.4,0.5343
5202,-106.6,271,0,0,1,8.02,0.0,2114.1,0.6914
5248,-98.6,46,0,0,1,17.73,0.1522,3781.0,0.6866
5319,-105.99,71,0,0,1,3.357,0.0,3095.4,0.6599
5341,-98.82,22,0,0,1,13.783,0.0,2646.3,0.6786
5387,-101.88,46,0,0,1,6.161,0.0,1740.2,0.6467
5446,-99.33,59,0,0,1,13.722,0.0508,4003.8,0.7156
5491,-102.58,45,0,0,1,5.374,0.0,2034.3,0.6111
5565,-105.54,74,0,0,1,4.146,0.0,1697.8,0.7212
5596,-101.97,31,0,0,1,7.335,0.0,4553.8,0.7661
5634,-101.62,38,0,0,1,6.804,0.0,1425.7,0.6819
5659,-101.95,25,0,0,1,7.527,0.0,1190.6,0.6294
5724,-106.24,65,0,0,1,3.471,0.0,3610.6,0.7647
5776,-105.18,52,0,0,1,4.144,0.0,3223.0,0.7522
5837,-102.35,61,0,0,1,6.303,0.0,327.2,0.5975
5888,-104.78,51,0,0,1,5.2,0.0392,481.7,0.6089
5960,-104.12,72,0,0,1,5.596,0.0,1982.8,0.6863
6060,-100.23,100,0,0,1,8.793,0.0,4423.7,0.5872
6109,-102.84,49,0,0,1,7.208,0.0,2113.4,0.7325
6133,-98.78,24,0,0,1,13.406,0.0,4042.8,0.568
6193,-104.11,60,0,0,1,4.491,0.0,1641.9,0.6555
6262,-98.63,69,0,0,1,10.662,0.0,1396.1,0.6428
6314,-101.55,52,0,0,1,6.065,0.0,4078.2,0.5706
6361,-102.06,47,0,0,1,7.192,0.0,4513.6,0.6336
6410,-103.25,49,0,0,1,5.451,0.0,473.5,0.7287
6618,-106.09,208,0,0,1,8.048,0.0144,703.5,0.6908
6713,-104.82,95,0,0,1,6.085,0.0105,3534.8,0.6156
6766,-103.29,53,0,0,1,5.342,0.0,1725.9,0.7471
6824,-103.6,58,0,0,1,5.36,0.0,3041.5,0.5731
7060,-114.78,236,0,0,1,5.337,0.0,1083.5,0.7397
7103,-101.14,43,0,0,1,7.504,0.0,4432.8,0.6181
7146,-102.63,43,0,0,1,5.417,0.0,2311.3,0.6618
7166,-98.77,20,0,0,1,11.797,0.0,4589.6,0.4524
7219,-99.08,53,0,0,1,11.495,0.0,4149.8,0.6439
7263,-102.46,44,0,0,1,6.494,0.0,3608.0,0.7952
7289,-102.78,26,0,0,1,4.299,0.0,1190.6,0.5962
7359,-103.58,70,0,0,1,6.061,0.0,3944.9,0.6415
7395,-100.8,36,0,0,1,8.216,0.0,314.3,0.5933
7449,-102.98,54,0,0,1,6.408,0.0,3030.4,0.5734
7501,-103.98,52,0,0,1,5.953,0.0,2113.4,0.7454
7588,-155.33,87,1,0,1,2.032,0.0,5006.8,0.6221
7712,-104.81,124,0,0,1,5.757,0.0,1244.3,0.7062
7769,-105.65,57,0,0,1,3.776,0.0,3223.0,0.7151
7804,-103.22,35,0,0,1,6.162,0.0,3035.7,0.7151
7838,-101.05,34,0,0,1,7.117,0.0,4606.8,0.5792
7863,-102.13,25,0,0,1,8.027,0.0,1559.5,0.7355
7966,-106.6,103,0,0,1,5.252,0.0,4682.5,0.686
8003,-100.26,37,0,0,1,9.094,0.0,3481.5,0.4629
8129,-108.78,126,0,0,1,4.242,0.0,4644.9,0.665
8195,-98.03,66,0,0,1,13.18,0.0909,1289.9,0.6897
8230,-97.07,35,0,0,1,15.332,0.0,3939.5,0.6011
8255,-100.49,25,0,0,1,11.874,0.0,4825.8,0.6864
8311,-103.18,56,0,0,1,5.649,0.0,314.3,0.724
8366,-100.45,55,0,0,1,9.449,0.0,1952.0,0.7272
8447,-102.81,81,0,0,1,6.965,0.0,3359.4,0.6665
8536,-106.18,89,0,0,1,7.651,0.0449,690.0,0.804
8554,-99.35,18,0,0,1,13.381,0.0,2667.8,0.6255
8577,-102.18,23,0,0,1,6.808,0.0,3216.6,0.6818
8686,-104.17,109,0,0,1,7.083,0.0,4013.1,0.6669
8740,-101.53,54,0,0,1,7.47,0.0,4795.9,0.6952
8770,-101.86,30,0,0,1,7.87,0.0,2113.4,0.6884
8809,-101.68,39,0,0,1,7.124,0.0,2260.6,0.7518
8865,-100.98,56,0,0,1,7.741,0.0,2506.9,0.6049
8880,-100.12,15,0,0,1,12.158,0.0,4849.1,0.7585
8945,-102.16,65,0,0,1,6.83,0.0,1129.3,0.568
9030,-103.8,85,0,0,1,6.061,0.0,2669.1,0.6483
9083,-104.18,53,0,0,1,3.978,0.0,282.5,0.6663
9115,-101.03,32,0,0,1,6.737,0.0,2180.1,0.6251
9143,-102.36,28,0,0,1,6.756,0.0,4817.4,0.7029
9156,-100.2,13,0,0,1,15.785,0.0,3210.8,0.8235
9191,-99.33,35,0,0,1,11.105,0.0,1818.2,0.6509
9226,-133.43,35,1,0,1,4.971,0.0,5006.5,0.7181
9474,-106.22,248,0,0,1,7.371,0.0,494.2,0.6206
9514,-100.83,40,0,0,1,7.802,0.0,2401.1,0.6653
9616,-96.96,102,0,0,1,11.931,0.0098,4489.0,0.5514
9671,-100.77,55,0,0,1,8.38,0.0,3924.5,0.6851
9706,-101.75,35,0,0,1,7.67,0.0,2113.4,0.602
9759,-103.28,53,0,0,1,4.573,0.0,2587.4,0.6119
9788,-98.78,29,0,0,1,12.23,0.0345,2210.7,0.6195
9842,-101.0,54,0,0,1,7.912,0.0,2823.7,0.6128
9857,-101.68,15,0,0,1,7.426,0.0,1190.6,0.7386
9968,-103.5,111,0,0,1,7.31,0.0,4161.8,0.6631
10030,-104.15,62,0,0,1,4.755,0.0,486.1,0.7016
10049,-101.07,19,0,0,1,8.759,0.0,2113.4,0.5934
10164,-109.21,115,0,0,1,4.167,0.0,1562.4,0.647
11664,-159.69,1500,0,0,0,1.129,0.0,4061.6,0.611
13164,-205.24,1500,0,0,0,0.289,0.004,3866.5,0.7893
14664,-423.5,1500,0,0,0,0.193,0.3847,3622.3,0.3246
16164,-241.13,1500,0,0,0,0.154,0.1347,4731.6,0.3523
17664,-166.7,1500,0,0,0,0.168,0.034,4778.0,0.3609
19164,-115.73,1500,0,0,0,0.589,0.002,1154.9,0.2337
20664,-194.94,1500,0,0,0,0.844,0.1047,888.1,0.2876
22164,-246.14,1500,0,0,0,0.54,0.1827,878.1,0.1995
23664,-760.72,1500,0,0,0,2.638,0.9453,4571.6,0.0871
25164,-128.58,1500,1,0,0,1.85,0.016,5517.6,0.2126
26664,-147.93,1500,0,0,0,0.185,0.0413,4766.5,0.2052
28164,-114.0,1500,0,0,0,1.216,0.0127,4829.0,0.247
29664,-115.56,1500,0,0,0,0.146,0.0,94.4,0.1897
29981,-121.15,317,0,0,1,1.844,0.0,764.4,0.3264
31481,-473.39,1500,1,0,0,2.65,0.492,5254.4,0.2193
32981,-659.07,1500,1,0,0,2.315,0.226,5053.9,0.2193
34481,-276.79,1500,1,0,0,3.755,0.2453,6199.9,0.3248
35981,-109.36,1500,0,0,0,3.404,0.0613,3071.2,0.2751
37481,-620.37,1500,1,0,0,4.683,0.7507,6213.7,0.2079
38981,-109.07,1500,0,0,0,0.062,0.0013,1190.6,0.1246
40481,-167.23,1500,0,0,0,1.899,0.0907,3112.9,0.3105
41981,-103.34,1500,0,0,0,0.07,0.0,1630.0,0.0962
43481,-106.84,1500,0,0,0,0.054,0.0,1190.6,0.1142
