timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
28,-98.47,28,0,0,1,10.747,0.0,4361.3,0.5247
94,-100.08,66,0,0,1,5.638,0.0,3309.8,0.6641
122,-97.84,28,0,0,1,10.752,0.0,2692.3,0.552
184,-99.65,62,0,0,1,6.45,0.0,1487.9,0.7726
224,-101.5,40,0,0,1,4.382,0.0,1587.0,0.6522
348,-98.63,124,0,0,1,6.644,0.0,387.7,0.7429
383,-99.24,35,0,0,1,8.428,0.0,459.5,0.6812
446,-97.67,63,0,0,1,8.389,0.0,181.6,0.6848
521,-101.61,75,0,0,1,4.251,0.0,987.5,0.6813
570,-101.94,49,0,0,1,3.618,0.0,4142.5,0.8724
603,-100.18,33,0,0,1,9.01,0.0909,3342.2,0.6368
729,-101.66,126,0,0,1,4.372,0.0,4766.5,0.68
768,-95.25,39,0,0,1,14.487,0.0,2711.7,0.5869
820,-101.64,52,0,0,1,3.83,0.0,3135.3,0.7053
885,-99.35,65,0,0,1,6.491,0.0,4975.0,0.7925
935,-101.11,50,0,0,1,4.357,0.0,3677.4,0.539
961,-99.73,26,0,0,1,7.102,0.0,3249.3,0.5736
1043,-97.1,82,0,0,1,8.497,0.0,2971.1,0.627
1137,-99.37,94,0,0,1,7.086,0.0,3035.7,0.7333
1197,-100.97,60,0,0,1,5.559,0.0,4814.8,0.6692
1315,-101.03,118,0,0,1,5.355,0.0,1579.4,0.6713
1368,-98.99,53,0,0,1,6.757,0.0,4210.3,0.6018
1473,-101.42,105,0,0,1,5.213,0.0,3529.2,0.6682
1532,-98.86,59,0,0,1,7.794,0.0169,114.9,0.6336
1659,-102.62,127,0,0,1,3.068,0.0,2128.9,0.7593
1676,-98.86,17,0,0,1,11.142,0.0,4373.2,0.8929
1751,-98.22,75,0,0,1,8.04,0.0,2999.8,0.66
1779,-99.73,28,0,0,1,6.818,0.0,192.9,0.7456
1806,-98.11,27,0,0,1,10.768,0.0,3909.7,0.7786
1944,-101.91,138,0,0,1,4.693,0.0,3784.3,0.6799
2006,-100.52,62,0,0,1,4.854,0.0,4343.1,0.7172
2052,-99.36,46,0,0,1,6.694,0.0,988.5,0.592
2228,-96.75,176,0,0,1,7.182,0.0,753.7,0.6522
2271,-97.25,43,0,0,1,11.48,0.0,4480.8,0.7031
2293,-97.83,22,0,0,1,14.599,0.0,149.7,0.7234
2393,-102.52,100,0,0,1,3.606,0.0,2882.8,0.6481
2447,-96.9,54,0,0,1,10.298,0.0,558.5,0.7443
2487,-101.35,40,0,0,1,5.695,0.0,1567.2,0.7147
2503,-98.77,16,0,0,1,11.636,0.0,2486.0,0.5022
2615,-95.98,112,0,0,1,8.234,0.0,2341.1,0.5975
2673,-101.17,58,0,0,1,5.403,0.0,2113.9,0.6351
2778,-102.24,105,0,0,1,4.04,0.0,222.7,0.6884
2842,-97.96,64,0,0,1,7.449,0.0,135.8,0.5944
2880,-100.19,38,0,0,1,6.22,0.0,690.0,0.692
2920,-100.26,40,0,0,1,5.619,0.0,72.0,0.7961
2968,-99.67,48,0,0,1,7.118,0.0,3486.6,0.7448
3026,-98.69,58,0,0,1,7.194,0.0,2809.6,0.6757
3048,-99.07,22,0,0,1,9.993,0.0,3307.5,0.751
3085,-97.77,37,0,0,1,10.49,0.0,1413.7,0.8931
3122,-99.43,37,0,0,1,8.941,0.0,3216.6,0.5417
3162,-96.46,40,0,0,1,11.443,0.0,3954.6,0.5291
3226,-101.26,64,0,0,1,4.269,0.0,1999.0,0.7275
3290,-100.33,64,0,0,1,5.237,0.0,2401.1,0.5816
3340,-132.07,50,1,0,1,3.525,0.0,5013.5,0.6085
3383,-99.37,43,0,0,1,8.539,0.0233,1982.9,0.7303
3457,-102.72,74,0,0,1,4.131,0.0,3534.8,0.6938
3471,-100.24,14,0,0,1,10.776,0.0,4820.1,0.4089
3531,-91.57,60,0,0,1,18.169,0.0,3523.5,0.7436
3647,-100.19,116,0,0,1,5.391,0.0,4396.0,0.6552
3684,-100.5,37,0,0,1,7.316,0.0,3534.8,0.7681
3759,-96.56,75,0,0,1,9.499,0.0,3696.2,0.6142
3874,-99.87,115,0,0,1,6.063,0.0,2120.1,0.63
3953,-101.25,79,0,0,1,4.98,0.0,4528.1,0.6555
3985,-99.64,32,0,0,1,8.665,0.0312,757.4,0.6151
4006,-99.83,21,0,0,1,10.954,0.0,3035.7,0.8562
4030,-97.92,24,0,0,1,13.748,0.0,3663.8,0.6191
4065,-99.06,35,0,0,1,7.671,0.0,4330.2,0.5346
4114,-99.06,49,0,0,1,8.005,0.0204,2799.6,0.6808
