timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
28,-98.17,28,0,0,1,10.747,0.0,4361.3,0.5247
94,-99.2,66,0,0,1,5.638,0.0,3309.8,0.6641
122,-97.53,28,0,0,1,10.752,0.0,2692.3,0.552
184,-98.69,62,0,0,1,6.45,0.0,1487.9,0.7726
224,-100.97,40,0,0,1,4.382,0.0,1587.0,0.6522
348,-96.79,124,0,0,1,6.644,0.0,387.7,0.7429
383,-98.76,35,0,0,1,8.428,0.0,459.5,0.6812
446,-96.81,63,0,0,1,8.389,0.0,181.6,0.6848
521,-100.59,75,0,0,1,4.251,0.0,987.5,0.6813
570,-101.09,49,0,0,1,3.618,0.0,4142.5,0.8724
603,-99.76,33,0,0,1,9.01,0.0909,3342.2,0.6368
729,-99.95,126,0,0,1,4.372,0.0,4766.5,0.68
768,-94.79,39,0,0,1,14.487,0.0,2711.7,0.5869
820,-100.9,52,0,0,1,3.83,0.0,3135.3,0.7053
885,-98.32,65,0,0,1,6.491,0.0,4975.0,0.7925
935,-100.57,50,0,0,1,4.357,0.0,3677.4,0.539
961,-99.43,26,0,0,1,7.102,0.0,3249.3,0.5736
1043,-96.07,82,0,0,1,8.497,0.0,2971.1,0.627
1137,-98.0,94,0,0,1,7.086,0.0,3035.7,0.7333
1197,-100.17,60,0,0,1,5.559,0.0,4814.8,0.6692
1315,-99.44,118,0,0,1,5.355,0.0,1579.4,0.6713
1368,-98.35,53,0,0,1,6.757,0.0,4210.3,0.6018
1473,-100.01,105,0,0,1,5.213,0.0,3529.2,0.6682
1532,-98.11,59,0,0,1,7.794,0.0169,114.9,0.6336
1659,-100.69,127,0,0,1,3.068,0.0,2128.9,0.7593
1676,-98.56,17,0,0,1,11.142,0.0,4373.2,0.8929
1751,-97.23,75,0,0,1,8.04,0.0,2999.8,0.66
1779,-99.31,28,0,0,1,6.818,0.0,192.9,0.7456
1806,-97.69,27,0,0,1,10.768,0.0,3909.7,0.7786
1944,-100.03,138,0,0,1,4.693,0.0,3784.3,0.6799
2006,-99.63,62,0,0,1,4.854,0.0,4343.1,0.7172
2052,-98.82,46,0,0,1,6.694,0.0,988.5,0.592
2228,-94.45,176,0,0,1,7.182,0.0,753.7,0.6522
2271,-96.65,43,0,0,1,11.48,0.0,4480.8,0.7031
