timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
21,-97.7,21,0,0,1,11.556,0.0,55.9
75,-94.52,54,0,0,1,10.455,0.0,135.8
121,-98.57,46,0,0,1,4.535,0.0,53.9
167,-99.76,46,0,0,1,3.33,0.0,30.6
227,-99.63,60,0,0,1,2.937,0.0,41.5
273,-99.21,46,0,0,1,3.743,0.0,41.5
301,-98.03,28,0,0,1,7.396,0.0,53.9
332,-99.55,31,0,0,1,4.835,0.0,26.0
376,-98.2,44,0,0,1,5.909,0.0,59.4
467,-97.79,91,0,0,1,4.284,0.0,94.5
485,-98.37,18,0,0,1,9.949,0.0,41.5
548,-99.59,63,0,0,1,2.989,0.0,43.9
571,-95.76,23,0,0,1,16.432,0.0,94.4
626,-99.48,55,0,0,1,3.106,0.0,41.5
688,-99.63,62,0,0,1,2.976,0.0,42.6
727,-98.16,39,0,0,1,7.473,0.0,57.0
761,-99.28,34,0,0,1,5.467,0.0294,42.7
817,-96.02,56,0,0,1,8.105,0.0,108.1
847,-98.72,30,0,0,1,6.101,0.0,41.5
878,-95.71,31,0,0,1,14.716,0.0323,109.4
935,-98.9,57,0,0,1,3.555,0.0,53.9
974,-99.0,39,0,0,1,4.311,0.0,41.5
1024,-99.79,50,0,0,1,3.281,0.0,32.4
1060,-96.15,36,0,0,1,10.736,0.0,94.4
1177,-94.86,117,0,0,1,5.944,0.0,165.2
1238,-94.63,61,0,0,1,9.694,0.0,137.4
1263,-99.14,25,0,0,1,5.925,0.0,30.6
1286,-99.37,23,0,0,1,6.771,0.0,24.6
1321,-98.18,35,0,0,1,6.531,0.0,54.9
1336,-99.58,15,0,0,1,9.694,0.0,15.7
1394,-96.3,58,0,0,1,8.587,0.0172,113.3
1409,-98.56,15,0,0,1,11.518,0.0,35.9
1467,-91.56,58,0,0,1,14.296,0.0,194.4
1480,-98.59,13,0,0,1,12.778,0.0,34.1
1516,-97.57,36,0,0,1,7.494,0.0,67.1
1554,-98.69,38,0,0,1,5.267,0.0,46.7
1606,-98.69,52,0,0,1,4.397,0.0,54.9
1644,-99.82,38,0,0,1,4.043,0.0,24.6
1670,-97.28,26,0,0,1,9.909,0.0,67.1
1686,-98.73,16,0,0,1,10.085,0.0,33.2
1705,-98.4,19,0,0,1,9.35,0.0,41.5
1881,-83.62,176,0,0,1,9.628,0.0,414.3
2027,-92.01,146,0,0,1,6.564,0.0,236.7
2052,-99.53,25,0,0,1,6.826,0.04,32.6
2071,-97.76,19,0,0,1,10.73,0.0,53.9
2106,-98.23,35,0,0,1,6.344,0.0,53.9
2163,-97.34,57,0,0,1,12.167,0.1228,149.7
2214,-96.6,51,0,0,1,7.508,0.0,94.4
2240,-96.28,26,0,0,1,13.604,0.0,86.0
2257,-98.32,17,0,0,1,10.856,0.0,41.7
2374,-94.17,117,0,0,1,6.661,0.0,178.2
2399,-98.32,25,0,0,1,7.997,0.0,46.4
2435,-98.12,36,0,0,1,6.565,0.0,56.5
2519,-97.6,84,0,0,1,4.374,0.0,94.4
2545,-97.27,26,0,0,1,10.631,0.0,67.1
2568,-99.51,23,0,0,1,6.172,0.0,22.0
2620,-98.75,52,0,0,1,4.085,0.0,53.9
2639,-98.36,19,0,0,1,10.232,0.0,42.1
2670,-99.3,31,0,0,1,5.21,0.0,30.8
2744,-99.93,74,0,0,1,2.532,0.0,43.7
2824,-94.51,80,0,0,1,8.48,0.0,150.2
2907,-96.65,83,0,0,1,5.594,0.0,111.6
2944,-98.3,37,0,0,1,5.76,0.0,53.9
2979,-97.97,35,0,0,1,6.979,0.0,58.9
