timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
28,-98.91,28,0,0,1,10.747,0.0,4361.3,0.5247
94,-101.4,66,0,0,1,5.638,0.0,3309.8,0.6641
122,-98.31,28,0,0,1,10.752,0.0,2692.3,0.552
184,-101.08,62,0,0,1,6.45,0.0,1487.9,0.7726
224,-102.28,40,0,0,1,4.382,0.0,1587.0,0.6522
348,-101.39,124,0,0,1,6.644,0.0,387.7,0.7429
383,-99.96,35,0,0,1,8.428,0.0,459.5,0.6812
446,-98.96,63,0,0,1,8.389,0.0,181.6,0.6848
521,-103.14,75,0,0,1,4.251,0.0,987.5,0.6813
570,-103.22,49,0,0,1,3.618,0.0,4142.5,0.8724
603,-100.81,33,0,0,1,9.01,0.0909,3342.2,0.6368
729,-104.24,126,0,0,1,4.372,0.0,4766.5,0.68
768,-95.93,39,0,0,1,14.487,0.0,2711.7,0.5869
820,-102.74,52,0,0,1,3.83,0.0,3135.3,0.7053
885,-100.9,65,0,0,1,6.491,0.0,4975.0,0.7925
935,-101.92,50,0,0,1,4.357,0.0,3677.4,0.539
961,-100.17,26,0,0,1,7.102,0.0,3249.3,0.5736
1043,-98.64,82,0,0,1,8.497,0.0,2971.1,0.627
1137,-101.44,94,0,0,1,7.086,0.0,3035.7,0.7333
1197,-102.18,60,0,0,1,5.559,0.0,4814.8,0.6692
1315,-103.41,118,0,0,1,5.355,0.0,1579.4,0.6713
1368,-99.95,53,0,0,1,6.757,0.0,4210.3,0.6018
1473,-103.52,105,0,0,1,5.213,0.0,3529.2,0.6682
1532,-99.98,59,0,0,1,7.794,0.0169,114.9,0.6336
1659,-105.51,127,0,0,1,3.068,0.0,2128.9,0.7593
1676,-99.32,17,0,0,1,11.142,0.0,4373.2,0.8929
1751,-99.71,75,0,0,1,8.04,0.0,2999.8,0.66
1779,-100.35,28,0,0,1,6.818,0.0,192.9,0.7456
1806,-98.74,27,0,0,1,10.768,0.0,3909.7,0.7786
1944,-104.73,138,0,0,1,4.693,0.0,3784.3,0.6799
2006,-101.85,62,0,0,1,4.854,0.0,4343.1,0.7172
2052,-100.18,46,0,0,1,6.694,0.0,988.5,0.592
2228,-100.19,176,0,0,1,7.182,0.0,753.7,0.6522
2271,-98.16,43,0,0,1,11.48,0.0,4480.8,0.7031
2293,-98.31,22,0,0,1,14.599,0.0,149.7,0.7234
2393,-104.47,100,0,0,1,3.606,0.0,2882.8,0.6481
2447,-98.11,54,0,0,1,10.298,0.0,558.5,0.7443
2487,-102.21,40,0,0,1,5.695,0.0,1567.2,0.7147
2503,-99.01,16,0,0,1,11.636,0.0,2486.0,0.5022
2615,-97.99,112,0,0,1,8.234,0.0,2341.1,0.5975
2673,-102.28,58,0,0,1,5.403,0.0,2113.9,0.6351
2778,-104.41,105,0,0,1,4.04,0.0,222.7,0.6884
2842,-99.1,64,0,0,1,7.449,0.0,135.8,0.5944
2880,-100.98,38,0,0,1,6.22,0.0,690.0,0.692
2920,-101.22,40,0,0,1,5.619,0.0,72.0,0.7961
2968,-100.74,48,0,0,1,7.118,0.0,3486.6,0.7448
3026,-99.86,58,0,0,1,7.194,0.0,2809.6,0.6757
3048,-99.56,22,0,0,1,9.993,0.0,3307.5,0.751
3085,-98.76,37,0,0,1,10.49,0.0,1413.7,0.8931
3122,-100.03,37,0,0,1,8.941,0.0,3216.6,0.5417
3162,-97.1,40,0,0,1,11.443,0.0,3954.6,0.5291
3226,-102.65,64,0,0,1,4.269,0.0,1999.0,0.7275
3290,-101.45,64,0,0,1,5.237,0.0,2401.1,0.5816
3340,-132.98,50,1,0,1,3.525,0.0,5013.5,0.6085
3383,-100.31,43,0,0,1,8.539,0.0233,1982.9,0.7303
3457,-104.26,74,0,0,1,4.131,0.0,3534.8,0.6938
3471,-100.41,14,0,0,1,10.776,0.0,4820.1,0.4089
3531,-92.9,60,0,0,1,18.169,0.0,3523.5,0.7436
3647,-102.47,116,0,0,1,5.391,0.0,4396.0,0.6552
3684,-101.35,37,0,0,1,7.316,0.0,3534.8,0.7681
3759,-97.94,75,0,0,1,9.499,0.0,3696.2,0.6142
3874,-102.04,115,0,0,1,6.063,0.0,2120.1,0.63
3953,-102.8,79,0,0,1,4.98,0.0,4528.1,0.6555
3985,-100.23,32,0,0,1,8.665,0.0312,757.4,0.6151
4006,-100.37,21,0,0,1,10.954,0.0,3035.7,0.8562
4030,-98.36,24,0,0,1,13.748,0.0,3663.8,0.6191
4065,-99.62,35,0,0,1,7.671,0.0,4330.2,0.5346
4114,-100.06,49,0,0,1,8.005,0.0204,2799.6,0.6808
4179,-98.46,65,0,0,1,8.881,0.0,2032.5,0.732
4237,-102.31,58,0,0,1,3.885,0.0,1619.7,0.5909
4299,-102.89,62,0,0,1,3.883,0.0,2173.0,0.6713
4336,-100.41,37,0,0,1,7.221,0.0,2530.4,0.7746
4456,-106.73,120,0,0,1,3.287,0.0,3668.4,0.7084
4498,-95.33,42,0,0,1,19.12,0.0714,4684.2,0.6646
4609,-101.3,111,0,0,1,9.142,0.0721,628.2,0.7169
4665,-100.57,56,0,0,1,7.691,0.0,4820.1,0.615
4760,-100.0,95,0,0,1,6.789,0.0,2897.6,0.6448
4773,-98.54,13,0,0,1,15.94,0.0,1828.6,0.4556
4858,-102.64,85,0,0,1,5.97,0.0,3529.2,0.7123
4904,-100.44,46,0,0,1,8.142,0.0,3036.4,0.5928
4931,-98.98,27,0,0,1,9.618,0.0,1366.4,0.5343
5202,-97.23,271,0,0,1,8.02,0.0,2114.1,0.6914
5248,-97.02,46,0,0,1,17.73,0.1522,3781.0,0.6866
5319,-103.65,71,0,0,1,3.357,0.0,3095.4,0.6599
5341,-98.08,22,0,0,1,13.783,0.0,2646.3,0.6786
5387,-100.4,46,0,0,1,6.161,0.0,1740.2,0.6467
5446,-97.21,59,0,0,1,13.722,0.0508,4003.8,0.7156
5491,-101.2,45,0,0,1,5.374,0.0,2034.3,0.6111
5565,-102.87,74,0,0,1,4.146,0.0,1697.8,0.7212
5596,-100.79,31,0,0,1,7.335,0.0,4553.8,0.7661
5634,-100.32,38,0,0,1,6.804,0.0,1425.7,0.6819
5659,-101.17,25,0,0,1,7.527,0.0,1190.6,0.6294
5724,-103.76,65,0,0,1,3.471,0.0,3610.6,0.7647
5776,-103.23,52,0,0,1,4.144,0.0,3223.0,0.7522
5837,-100.53,61,0,0,1,6.303,0.0,327.2,0.5975
5888,-103.23,51,0,0,1,5.2,0.0392,481.7,0.6089
5960,-101.65,72,0,0,1,5.596,0.0,1982.8,0.6863
6060,-97.29,100,0,0,1,8.793,0.0,4423.7,0.5872
6109,-101.04,49,0,0,1,7.208,0.0,2113.4,0.7325
6133,-98.09,24,0,0,1,13.406,0.0,4042.8,0.568
6193,-102.14,60,0,0,1,4.491,0.0,1641.9,0.6555
6262,-96.42,69,0,0,1,10.662,0.0,1396.1,0.6428
6314,-100.07,52,0,0,1,6.065,0.0,4078.2,0.5706
6361,-100.57,47,0,0,1,7.192,0.0,4513.6,0.6336
6410,-101.47,49,0,0,1,5.451,0.0,473.5,0.7287
