timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m
8,-99.34,8,0,0,1,17.712,0.0,16.3
26,-98.79,18,0,0,1,8.917,0.0,33.3
45,-98.39,19,0,0,1,9.622,0.0,41.5
68,-98.91,23,0,0,1,7.082,0.0,33.9
96,-99.23,28,0,0,1,5.294,0.0,30.6
149,-98.48,53,0,0,1,10.828,0.1509,135.8
173,-99.57,24,0,0,1,5.86,0.0,21.5
195,-100.16,22,0,0,1,11.841,0.2727,67.1
230,-98.22,35,0,0,1,6.504,0.0,54.0
247,-98.34,17,0,0,1,10.272,0.0,41.5
262,-99.27,15,0,0,1,10.142,0.0,22.0
281,-98.65,19,0,0,1,12.802,0.1053,55.7
299,-97.11,18,0,0,1,21.511,0.1667,94.4
308,-97.98,9,0,0,1,21.218,0.0,43.8
332,-97.91,24,0,0,1,8.6,0.0,53.9
349,-98.9,17,0,0,1,8.708,0.0,30.6
370,-97.71,21,0,0,1,11.068,0.0,55.9
388,-99.99,18,0,0,1,17.275,0.3333,67.5
402,-98.0,14,0,0,1,14.408,0.0,46.1
417,-97.33,15,0,0,1,27.176,0.2667,97.9
437,-98.06,20,0,0,1,16.749,0.1,67.1
453,-98.3,16,0,0,1,11.479,0.0,41.5
474,-100.01,21,0,0,1,7.377,0.0952,30.6
536,-95.77,62,0,0,1,16.33,0.2097,240.6
549,-98.52,13,0,0,1,13.02,0.0,35.6
588,-97.09,39,0,0,1,19.882,0.3077,192.9
601,-98.59,13,0,0,1,13.238,0.0,34.0
651,-99.64,50,0,0,1,17.108,0.36,207.7
669,-98.48,18,0,0,1,23.025,0.3333,96.6
726,-102.27,57,0,0,1,6.993,0.193,94.4
742,-100.17,16,0,0,1,12.754,0.25,44.0
766,-99.49,24,0,0,1,6.518,0.0,22.8
794,-99.7,28,0,0,1,11.496,0.1786,69.2
819,-100.82,25,0,0,1,20.222,0.52,122.9
826,-99.46,7,0,0,1,18.62,0.0,13.5
852,-98.99,26,0,0,1,6.278,0.0,34.0
870,-99.22,18,0,0,1,10.679,0.1111,44.2
921,-99.07,51,0,0,1,9.81,0.1373,113.7
936,-99.13,15,0,0,1,10.142,0.0,24.6
962,-98.35,26,0,0,1,14.57,0.1923,94.4
985,-99.54,23,0,0,1,6.417,0.0,21.5
1020,-98.08,35,0,0,1,12.918,0.1143,94.4
1039,-99.33,19,0,0,1,8.572,0.0526,32.9
1057,-96.73,18,0,0,1,19.887,0.0556,82.2
1073,-99.47,16,0,0,1,16.806,0.3125,67.1
1095,-98.66,22,0,0,1,11.707,0.1364,67.1
1124,-99.09,29,0,0,1,6.024,0.0,33.7
1152,-93.46,28,0,0,1,33.911,0.3571,237.0
1278,-98.89,126,0,0,1,14.09,0.2778,428.1
1291,-99.65,13,0,0,1,12.985,0.1538,32.8
1320,-99.87,29,0,0,1,9.195,0.1724,67.1
1353,-97.69,33,0,0,1,10.312,0.0303,72.2
1388,-99.43,35,0,0,1,4.398,0.0,30.6
1401,-98.21,13,0,0,1,14.049,0.0,41.5
1432,-100.2,31,0,0,1,5.226,0.0645,32.9
1485,-102.71,53,0,0,1,13.258,0.3396,149.7
1513,-98.99,28,0,0,1,8.18,0.0714,54.4
1548,-96.84,35,0,0,1,9.127,0.0,80.7
1561,-98.21,13,0,0,1,13.952,0.0,41.5
1576,-98.78,15,0,0,1,12.023,0.0667,41.5
1591,-98.58,15,0,0,1,16.001,0.1333,54.8
1617,-100.81,26,0,0,1,7.969,0.1923,47.1
1629,-97.54,12,0,0,1,18.271,0.0,53.9
1671,-94.87,42,0,0,1,12.662,0.0,121.9
1703,-96.59,32,0,0,1,15.274,0.125,121.9
1739,-101.46,36,0,0,1,4.201,0.1111,30.6
1756,-98.34,17,0,0,1,10.477,0.0,41.5
1781,-97.1,25,0,0,1,16.316,0.12,98.5
1794,-99.15,13,0,0,1,12.684,0.0769,33.0
1821,-99.87,27,0,0,1,14.371,0.2963,94.4
1850,-98.07,29,0,0,1,20.37,0.3103,139.4
1886,-99.26,36,0,0,1,6.18,0.0556,53.9
1906,-98.92,20,0,0,1,9.288,0.05,41.5
1922,-98.86,16,0,0,1,9.969,0.0,30.6
1931,-97.98,9,0,0,1,21.928,0.0,43.7
1963,-99.14,32,0,0,1,7.241,0.0625,53.9
