timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
38,-101.28,38,0,0,1,7.077,0.0,4297.8,0.6537
161,-106.12,123,0,0,1,7.724,0.0244,1557.8,0.7025
268,-105.93,107,0,0,1,5.34,0.0,680.5,0.6135
284,-100.66,16,0,0,1,13.669,0.0,1562.4,0.6715
310,-102.67,26,0,0,1,6.351,0.0,2108.0,0.7804
353,-102.24,43,0,0,1,6.306,0.0,4161.8,0.601
383,-98.6,30,0,0,1,13.349,0.0,2356.0,0.6718
546,-111.47,163,0,0,1,4.285,0.0,643.0,0.6822
603,-103.51,57,0,0,1,5.117,0.0,1712.0,0.6875
697,-103.91,94,0,0,1,8.017,0.0,3212.6,0.6842
758,-103.17,61,0,0,1,6.266,0.0,4196.9,0.7075
843,-103.77,85,0,0,1,6.819,0.0,3766.1,0.6976
860,-131.18,17,1,0,1,11.578,0.0,5006.5,0.6731
915,-102.36,55,0,0,1,6.247,0.0,1072.3,0.6841
933,-98.74,18,0,0,1,13.084,0.0,2956.7,0.485
1031,-106.6,98,0,0,1,6.964,0.0408,1567.2,0.678
1077,-103.73,46,0,0,1,4.739,0.0,1101.0,0.7162
1115,-101.11,38,0,0,1,11.677,0.0789,3418.5,0.7159
1129,-101.09,14,0,0,1,10.843,0.0,1567.2,0.6323
1171,-101.12,42,0,0,1,8.394,0.0,2987.2,0.6509
1232,-97.61,61,0,0,1,15.713,0.0984,1575.8,0.6531
1296,-104.36,64,0,0,1,6.649,0.0312,873.7,0.772
1335,-101.47,39,0,0,1,7.472,0.0,3823.0,0.7604
1394,-103.15,59,0,0,1,5.45,0.0,2227.4,0.6128
1425,-101.77,31,0,0,1,6.238,0.0,3495.0,0.6483
1476,-103.73,51,0,0,1,5.237,0.0,3457.4,0.7514
1509,-102.51,33,0,0,1,7.103,0.0,4825.8,0.6936
1586,-103.9,77,0,0,1,5.068,0.0,2210.7,0.5517
1606,-97.56,20,0,0,1,9.953,0.0,1230.3,0.5814
1755,-105.04,149,0,0,1,7.773,0.0,3477.8,0.7011
1878,-103.43,123,0,0,1,6.584,0.0,4965.7,0.6716
1953,-106.55,75,0,0,1,3.514,0.0,4906.1,0.6916
1973,-100.78,20,0,0,1,7.429,0.0,4432.8,0.6021
1994,-99.43,21,0,0,1,15.961,0.0,3534.8,0.6639
2028,-98.1,34,0,0,1,12.281,0.0,2017.8,0.4231
2164,-109.43,136,0,0,1,4.86,0.0,2144.1,0.7427
2271,-108.17,107,0,0,1,4.483,0.0,295.5,0.7614
2398,-111.05,127,0,0,1,3.357,0.0,1074.5,0.7116
2477,-102.04,79,0,0,1,7.452,0.0,1782.5,0.6304
2633,-107.19,156,0,0,1,6.328,0.0,1954.9,0.7106
