timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
488036,-318.63,1500,1,0,0,8.893,0.0067,6213.7,0.1159
489536,-80.86,1500,0,0,0,0.438,0.0,1213.7,0.0682
491036,129.29,1500,1,0,0,12.145,0.0,6200.6,0.0929
492536,-356.96,1500,1,0,0,8.017,0.0133,6172.5,0.181
494036,-30.3,1500,1,0,0,4.366,0.002,6206.7,0.1443
495160,732.05,1124,3,1,0,42.03,0.0632,15002.0,0.2523
495177,-96.13,17,0,0,1,22.413,0.0,3624.1,0.3429
496677,-85.74,1500,0,0,0,0.169,0.0,1202.3,0.0627
496991,-5.83,314,1,0,1,38.783,0.0446,5538.8,0.2963
498195,750.02,1204,3,1,0,40.686,0.0415,15002.4,0.2558
499695,-199.28,1500,1,0,0,13.277,0.0213,6172.5,0.1651
