timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
37,-100.08,37,0,0,1,9.566,0.0,2486.0,0.6728
76,-101.67,39,0,0,1,6.683,0.0,2677.1,0.6833
168,-105.52,92,0,0,1,4.329,0.0,3886.2,0.5475
225,-106.75,57,0,0,1,2.756,0.0,4822.0,0.7272
296,-104.04,71,0,0,1,5.285,0.0,238.5,0.6527
368,-105.05,72,0,0,1,4.24,0.0,814.3,0.6584
482,-104.72,114,0,0,1,5.995,0.0,4328.4,0.6113
544,-106.9,62,0,0,1,2.796,0.0,4820.1,0.6832
576,-98.0,32,0,0,1,16.697,0.0625,1410.8,0.773
629,-103.69,53,0,0,1,3.989,0.0,1611.3,0.5567
757,-106.6,128,0,0,1,6.496,0.0078,4606.8,0.7421
781,-98.9,24,0,0,1,13.385,0.0,2194.9,0.6478
834,-103.4,53,0,0,1,4.945,0.0,1484.6,0.6525
868,-100.25,34,0,0,1,7.875,0.0,4255.7,0.6138
967,-105.66,99,0,0,1,5.337,0.0,1455.9,0.7169
1025,-105.6,58,0,0,1,3.665,0.0,2106.8,0.6491
1038,-99.32,13,0,0,1,13.151,0.0,3289.2,0.5841
1098,-105.05,60,0,0,1,3.534,0.0,2883.7,0.6618
1198,-101.94,100,0,0,1,7.233,0.0,628.2,0.5647
1242,-103.47,44,0,0,1,4.984,0.0,167.8,0.7648
1282,-101.68,40,0,0,1,6.498,0.0,4446.3,0.6155
1328,-99.24,46,0,0,1,12.316,0.0217,3912.3,0.6995
1353,-99.49,25,0,0,1,11.832,0.0,4301.7,0.6791
1389,-101.97,36,0,0,1,7.744,0.0278,2843.4,0.7638
1407,-99.06,18,0,0,1,15.668,0.0,4197.3,0.7535
1457,-98.66,50,0,0,1,10.89,0.0,1754.3,0.5998
1480,-99.56,23,0,0,1,11.628,0.0,2338.8,0.6879
1509,-101.0,29,0,0,1,8.424,0.0,4033.0,0.6974
1681,-102.35,172,0,0,1,8.636,0.0,1000.4,0.6715
1702,-102.29,21,0,0,1,7.602,0.0,1562.4,0.808
1739,-102.31,37,0,0,1,6.019,0.0,683.1,0.6338
1812,-101.71,73,0,0,1,7.141,0.0,2404.3,0.5871
1874,-102.96,62,0,0,1,7.503,0.0,4993.9,0.7087
1910,-99.42,36,0,0,1,12.682,0.0,789.6,0.763
1999,-105.29,89,0,0,1,5.155,0.0,2038.9,0.6368
2055,-103.34,56,0,0,1,6.084,0.0,2120.1,0.6013
2108,-100.63,53,0,0,1,9.467,0.0,4682.5,0.6956
2133,-96.76,25,0,0,1,15.272,0.0,1190.6,0.6423
2219,-103.04,86,0,0,1,7.29,0.0,2708.0,0.7009
2252,-99.72,33,0,0,1,10.105,0.0,1428.4,0.6009
2317,-104.96,65,0,0,1,3.874,0.0,127.1,0.6671
2374,-100.47,57,0,0,1,9.295,0.0,3886.5,0.6422
2446,-99.35,72,0,0,1,10.786,0.0139,496.2,0.6513
2525,-104.79,79,0,0,1,6.225,0.0,1562.4,0.6573
2569,-98.84,44,0,0,1,11.78,0.0,2664.7,0.6349
2639,-102.45,70,0,0,1,6.556,0.0,2580.0,0.5981
2798,-110.6,159,0,0,1,4.716,0.0,774.6,0.6751
2825,-100.95,27,0,0,1,8.604,0.0,4971.4,0.6385
2879,-102.73,54,0,0,1,5.101,0.0,3823.0,0.6123
2974,-131.54,95,1,0,1,8.555,0.0,5041.5,0.758
3018,-102.92,44,0,0,1,6.022,0.0,1562.4,0.5592
3059,-99.84,41,0,0,1,11.622,0.0244,2912.3,0.7928
3118,-104.58,59,0,0,1,3.671,0.0,4731.3,0.6302
3171,-101.94,53,0,0,1,6.722,0.0,1524.6,0.6314
3329,-108.92,158,0,0,1,5.096,0.0,3823.0,0.6598
3359,-102.22,30,0,0,1,18.69,0.3333,960.0,0.8581
3418,-102.09,59,0,0,1,6.399,0.0,1697.8,0.6339
3523,-134.39,105,1,0,1,6.635,0.0,5016.0,0.649
3599,-107.37,76,0,0,1,3.418,0.0,1562.4,0.6561
3786,-112.84,187,0,0,1,4.243,0.0,799.7,0.674
3861,-105.66,75,0,0,1,4.009,0.0,2194.9,0.6983
3895,-102.76,34,0,0,1,6.101,0.0,3216.6,0.6584
3938,-97.7,43,0,0,1,18.172,0.1163,2486.0,0.7324
3973,-99.51,35,0,0,1,12.542,0.0,4003.8,0.7415
4021,-101.73,48,0,0,1,6.409,0.0,1880.8,0.5561
4106,-103.67,85,0,0,1,5.664,0.0,3278.3,0.6728
4145,-100.91,39,0,0,1,6.407,0.0,3954.6,0.4646
4173,-101.57,28,0,0,1,6.86,0.0,4682.5,0.7071
4207,-102.1,34,0,0,1,5.781,0.0,2156.5,0.5179
4252,-96.91,45,0,0,1,15.277,0.0,343.1,0.7154
4388,-112.73,136,0,0,1,2.972,0.0,3677.2,0.7161
