timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
38,-100.03,38,0,0,1,7.077,0.0,4297.8,0.6537
161,-101.8,123,0,0,1,7.724,0.0244,1557.8,0.7025
268,-102.65,107,0,0,1,5.34,0.0,680.5,0.6135
284,-100.12,16,0,0,1,13.669,0.0,1562.4,0.6715
310,-101.65,26,0,0,1,6.351,0.0,2108.0,0.7804
353,-100.95,43,0,0,1,6.306,0.0,4161.8,0.601
383,-97.6,30,0,0,1,13.349,0.0,2356.0,0.6718
546,-105.91,163,0,0,1,4.285,0.0,643.0,0.6822
603,-101.55,57,0,0,1,5.117,0.0,1712.0,0.6875
697,-100.69,94,0,0,1,8.017,0.0,3212.6,0.6842
758,-101.02,61,0,0,1,6.266,0.0,4196.9,0.7075
843,-100.8,85,0,0,1,6.819,0.0,3766.1,0.6976
860,-130.61,17,1,0,1,11.578,0.0,5006.5,0.6731
915,-100.48,55,0,0,1,6.247,0.0,1072.3,0.6841
933,-98.3,18,0,0,1,13.084,0.0,2956.7,0.485
1031,-103.28,98,0,0,1,6.964,0.0408,1567.2,0.678
1077,-102.09,46,0,0,1,4.739,0.0,1101.0,0.7162
1115,-99.75,38,0,0,1,11.677,0.0789,3418.5,0.7159
1129,-100.65,14,0,0,1,10.843,0.0,1567.2,0.6323
1171,-99.75,42,0,0,1,8.394,0.0,2987.2,0.6509
1232,-95.62,61,0,0,1,15.713,0.0984,1575.8,0.6531
1296,-101.88,64,0,0,1,6.649,0.0312,873.7,0.772
1335,-99.99,39,0,0,1,7.472,0.0,3823.0,0.7604
1394,-101.35,59,0,0,1,5.45,0.0,2227.4,0.6128
1425,-100.77,31,0,0,1,6.238,0.0,3495.0,0.6483
1476,-101.82,51,0,0,1,5.237,0.0,3457.4,0.7514
1509,-101.37,33,0,0,1,7.103,0.0,4825.8,0.6936
1586,-101.78,77,0,0,1,5.068,0.0,2210.7,0.5517
1606,-96.98,20,0,0,1,9.953,0.0,1230.3,0.5814
1755,-99.82,149,0,0,1,7.773,0.0,3477.8,0.7011
1878,-99.3,123,0,0,1,6.584,0.0,4965.7,0.6716
1953,-103.95,75,0,0,1,3.514,0.0,4906.1,0.6916
1973,-100.18,20,0,0,1,7.429,0.0,4432.8,0.6021
1994,-98.73,21,0,0,1,15.961,0.0,3534.8,0.6639
2028,-97.38,34,0,0,1,12.281,0.0,2017.8,0.4231
2164,-104.38,136,0,0,1,4.86,0.0,2144.1,0.7427
2271,-104.09,107,0,0,1,4.483,0.0,295.5,0.7614
2398,-106.53,127,0,0,1,3.357,0.0,1074.5,0.7116
2477,-99.55,79,0,0,1,7.452,0.0,1782.5,0.6304
2633,-101.65,156,0,0,1,6.328,0.0,1954.9,0.7106
2693,-103.88,60,0,0,1,3.723,0.0,3035.7,0.6887
2733,-98.13,40,0,0,1,15.71,0.125,2766.0,0.7096
2777,-102.2,44,0,0,1,5.112,0.0,3531.0,0.5537
2865,-100.58,88,0,0,1,7.68,0.0227,4671.0,0.6644
2887,-99.67,22,0,0,1,11.043,0.0,4489.0,0.6846
2948,-100.45,61,0,0,1,7.857,0.0,4005.9,0.6996
2986,-101.23,38,0,0,1,5.218,0.0,4941.3,0.6234
3056,-103.37,70,0,0,1,3.736,0.0,1646.8,0.7023
3152,-98.24,96,0,0,1,8.55,0.0,4778.5,0.7217
3243,-99.47,91,0,0,1,7.424,0.0,4840.0,0.6251
3327,-104.49,84,0,0,1,2.453,0.0,1228.8,0.6691
3406,-100.91,79,0,0,1,5.912,0.0,2500.5,0.609
3484,-103.05,78,0,0,1,4.642,0.0,3030.4,0.6293
3536,-103.48,52,0,0,1,3.94,0.0,3534.8,0.698
3578,-102.6,42,0,0,1,3.686,0.0,3554.8,0.7305
3641,-101.86,63,0,0,1,4.794,0.0,613.1,0.6772
3679,-100.34,38,0,0,1,6.308,0.0,2471.5,0.5951
3727,-102.06,48,0,0,1,4.162,0.0,567.5,0.5884
3748,-98.37,21,0,0,1,13.284,0.0,4891.1,0.6501
3821,-100.27,73,0,0,1,3.947,0.0,1186.6,0.7051
3839,-99.73,18,0,0,1,9.339,0.0,2278.0,0.5958
3893,-103.05,54,0,0,1,3.96,0.0,4518.4,0.741
3931,-100.44,38,0,0,1,6.252,0.0,2736.7,0.738
3966,-101.76,35,0,0,1,5.192,0.0,3489.4,0.8334
4036,-101.51,70,0,0,1,5.459,0.0,2635.2,0.6507
4107,-102.26,71,0,0,1,5.022,0.0,4364.3,0.6995
4130,-99.38,23,0,0,1,9.894,0.0,3085.8,0.4017
4272,-106.41,142,0,0,1,3.48,0.0,3369.6,0.6321
4376,-104.11,104,0,0,1,3.737,0.0,2370.4,0.5735
4402,-100.44,26,0,0,1,10.55,0.0,2107.5,0.8118
4466,-103.49,64,0,0,1,3.497,0.0,3084.3,0.6369
4519,-101.32,53,0,0,1,5.367,0.0,2709.2,0.6026
4559,-101.07,40,0,0,1,6.552,0.0,4003.8,0.7095
4630,-102.62,71,0,0,1,4.494,0.0,3112.9,0.6437
4753,-103.7,123,0,0,1,4.875,0.0,2529.8,0.679
4818,-100.8,65,0,0,1,9.042,0.0462,4481.2,0.6809
4870,-102.39,52,0,0,1,4.856,0.0,1154.9,0.6855
4942,-103.45,72,0,0,1,3.86,0.0,2244.1,0.7318
4976,-99.11,34,0,0,1,8.632,0.0,2544.4,0.6122
5074,-100.38,98,0,0,1,7.44,0.0102,4682.5,0.6637
5126,-100.46,52,0,0,1,6.467,0.0,2276.8,0.6957
5162,-99.53,36,0,0,1,10.395,0.0,3216.6,0.7295
5225,-95.05,63,0,0,1,13.232,0.0,597.7,0.6714
5271,-98.58,46,0,0,1,9.66,0.0,4284.4,0.5779
5327,-99.14,56,0,0,1,7.813,0.0,2323.5,0.679
5375,-96.87,48,0,0,1,12.64,0.0208,2692.3,0.6482
5420,-99.56,45,0,0,1,6.949,0.0,582.3,0.7156
5466,-102.91,46,0,0,1,4.179,0.0,3534.8,0.6922
5504,-101.06,38,0,0,1,5.384,0.0,3264.2,0.7308
5536,-100.43,32,0,0,1,6.454,0.0,1712.5,0.5566
5572,-100.07,36,0,0,1,7.67,0.0,3927.7,0.7081
5610,-101.35,38,0,0,1,11.32,0.1842,2795.4,0.6325
5673,-99.68,63,0,0,1,7.627,0.0,391.3,0.6263
5793,-102.61,120,0,0,1,4.468,0.0,1281.4,0.6566
5812,-98.29,19,0,0,1,13.074,0.0,1396.1,0.4813
5829,-99.16,17,0,0,1,12.779,0.0,557.2,0.4547
5937,-106.97,108,0,0,1,2.467,0.0,2619.5,0.7063
6037,-104.42,100,0,0,1,3.542,0.0,265.6,0.6361
6166,-100.92,129,0,0,1,6.495,0.0,2882.8,0.6817
6207,-102.62,41,0,0,1,3.88,0.0,3549.4,0.6563
6222,-99.47,15,0,0,1,16.835,0.0,3036.4,0.6366
6289,-101.93,67,0,0,1,5.115,0.0,2374.2,0.7073
6357,-95.7,68,0,0,1,11.296,0.0147,1572.8,0.6734
6416,-98.42,59,0,0,1,10.343,0.0,4682.5,0.6891
6476,-102.77,60,0,0,1,3.97,0.0,1645.6,0.6632
6510,-100.77,34,0,0,1,6.061,0.0,4268.0,0.7114
6584,-100.74,74,0,0,1,6.247,0.0,2323.5,0.6632
6638,-98.06,54,0,0,1,9.81,0.0,2070.2,0.5199
6669,-102.1,31,0,0,1,5.983,0.0,3529.2,0.9016
6739,-102.03,70,0,0,1,4.826,0.0,4966.5,0.6259
6764,-99.93,25,0,0,1,9.647,0.0,4013.1,0.7081
6827,-102.53,63,0,0,1,3.555,0.0,3098.3,0.677
6884,-102.02,57,0,0,1,4.829,0.0,598.1,0.657
6951,-101.99,67,0,0,1,4.782,0.0,3927.6,0.6277
6969,-99.77,18,0,0,1,10.832,0.0,4003.8,0.6939
7000,-98.86,31,0,0,1,9.565,0.0,2143.8,0.6485
7074,-102.25,74,0,0,1,4.73,0.0,1895.1,0.6453
7177,-102.26,103,0,0,1,6.22,0.0,1166.1,0.6934
7232,-102.48,55,0,0,1,3.805,0.0,4974.0,0.6111
7292,-97.1,60,0,0,1,10.89,0.0,1046.9,0.722
7311,-98.49,19,0,0,1,12.231,0.0,2573.2,0.5427
7343,-99.92,32,0,0,1,7.47,0.0,1000.4,0.6683
7429,-103.85,86,0,0,1,3.914,0.0,4047.7,0.6932
7518,-103.35,89,0,0,1,4.573,0.0,3172.3,0.6994
7575,-99.47,57,0,0,1,7.822,0.0,919.5,0.6336
7649,-98.1,74,0,0,1,8.841,0.0,741.0,0.6258
7705,-98.17,56,0,0,1,8.481,0.0,618.6,0.5563
7735,-99.92,30,0,0,1,8.956,0.0,121.9,0.7722
7774,-101.16,39,0,0,1,4.68,0.0,4373.2,0.654
7800,-100.39,26,0,0,1,8.207,0.0,4249.0,0.7726
7864,-96.35,64,0,0,1,12.103,0.0,2078.6,0.6548
7892,-100.04,28,0,0,1,7.526,0.0,552.2,0.6393
7904,-98.43,12,0,0,1,19.635,0.0,1506.7,0.8491
8026,-103.13,122,0,0,1,5.183,0.0,2415.5,0.6972
8058,-97.32,32,0,0,1,13.068,0.0,2882.8,0.6035
8092,-98.65,34,0,0,1,10.522,0.0,2573.2,0.8046
8152,-103.39,60,0,0,1,4.484,0.0,3216.6,0.7689
8184,-101.39,32,0,0,1,8.532,0.0312,3223.0,0.8153
8228,-103.21,44,0,0,1,3.824,0.0,3216.6,0.7658
8399,-103.4,171,0,0,1,5.609,0.0,2809.6,0.7044
8461,-101.3,62,0,0,1,5.27,0.0,2308.2,0.6413
8494,-97.96,33,0,0,1,11.507,0.0,4850.8,0.765
8564,-100.48,70,0,0,1,6.775,0.0,4257.4,0.6248
8638,-99.45,74,0,0,1,7.515,0.0,3901.2,0.6436
8700,-102.71,62,0,0,1,5.048,0.0323,339.1,0.6495
8727,-98.6,27,0,0,1,13.878,0.1481,3095.4,0.7039
8804,-99.74,77,0,0,1,8.624,0.0,4597.3,0.7085
8828,-97.0,24,0,0,1,15.316,0.0,3251.6,0.4473
8875,-100.37,47,0,0,1,6.44,0.0,1072.3,0.6287
8927,-100.68,52,0,0,1,5.935,0.0,2661.7,0.624
