timestep,ep_reward,ep_len,laps,success,crashed,mean_speed,overheat_frac,progress_m,jerk
285702,755.68,1063,3,1,0,46.393,0.1279,15013.5,0.3518
287099,621.23,1397,3,1,0,35.561,0.1825,15013.5,0.2899
288599,3.85,1500,2,0,0,22.43,0.1007,10031.3,0.2035
290099,-283.91,1500,1,0,0,10.155,0.0493,5041.5,0.155
291599,-203.04,1500,1,0,0,13.998,0.054,5635.6,0.1631
293099,-388.11,1500,1,0,0,7.156,0.018,6154.9,0.1092
294599,-148.69,1500,2,0,0,16.157,0.048,11154.9,0.1882
296099,-200.47,1500,1,0,0,12.85,0.032,5384.0,0.182
297599,-411.03,1500,1,0,0,5.939,0.0153,5520.1,0.1878
299099,-190.71,1500,1,0,0,14.031,0.0333,6157.8,0.2183
300369,819.84,1270,3,1,0,44.221,0.0827,15017.0,0.3615
301597,801.62,1228,3,1,0,44.582,0.1059,15013.5,0.3284
302019,102.62,422,1,0,1,46.881,0.0877,6573.0,0.33
303519,-267.92,1500,1,0,0,11.548,0.024,6154.9,0.152
305019,-130.16,1500,2,0,0,18.143,0.0573,11154.9,0.1823
305887,713.87,868,3,1,0,44.811,0.0461,15013.5,0.2992
306711,232.8,824,2,0,1,43.671,0.0995,10601.4,0.2884
308211,-292.77,1500,1,0,0,10.455,0.022,6144.1,0.0986
309067,723.81,856,3,1,0,49.797,0.153,15014.5,0.3214
310170,777.45,1103,3,1,0,48.368,0.1777,15013.5,0.3042
311670,109.64,1500,2,0,0,23.352,0.056,10112.6,0.2265
311780,-50.43,110,0,0,1,40.182,0.1545,3754.1,0.2968
313280,-448.01,1500,1,0,0,5.029,0.0073,6142.5,0.1096
314422,765.33,1142,3,1,0,49.176,0.2356,15014.3,0.3456
315922,-445.87,1500,1,0,0,5.101,0.0073,6138.7,0.0984
317168,778.54,1246,3,1,0,40.876,0.0514,15013.5,0.2932
318668,282.76,1500,1,0,0,19.766,0.026,9980.9,0.231
320168,-304.27,1500,1,0,0,0.602,0.2653,5014.1,0.1924
321668,114.82,1500,0,0,0,9.787,0.0093,4982.4,0.1859
323168,149.62,1500,1,0,0,13.195,0.014,9982.8,0.2054
324668,-322.63,1500,1,0,0,8.517,0.0007,6145.0,0.1819
325900,789.75,1232,3,1,0,43.41,0.082,15009.5,0.2695
327400,138.49,1500,1,0,0,13.258,0.0273,9987.1,0.3256
328900,-33.83,1500,2,0,0,18.968,0.026,10464.4,0.2261
329798,738.54,898,3,1,0,46.87,0.0679,15014.9,0.2712
331298,-158.16,1500,0,0,0,0.824,0.1147,4988.8,0.3242
332798,-265.98,1500,1,0,0,11.075,0.0307,5589.2,0.1638
333911,831.0,1113,3,1,0,48.65,0.106,15013.7,0.2847
335411,26.66,1500,2,0,0,22.394,0.0367,11110.2,0.1913
336911,177.87,1500,2,0,0,28.513,0.0733,11579.4,0.2026
338411,-431.85,1500,1,0,0,5.365,0.0047,6213.7,0.0974
339911,73.97,1500,0,0,0,8.919,0.0293,3502.9,0.1499
340764,696.68,853,3,1,0,46.507,0.109,15013.5,0.3245
342264,-201.63,1500,1,0,0,13.913,0.0327,6114.0,0.1772
343171,754.64,907,3,1,0,48.637,0.0915,15013.5,0.2949
344671,157.24,1500,2,0,0,26.95,0.052,11104.9,0.2245
346171,67.56,1500,2,0,0,24.196,0.058,11104.8,0.3336
347671,21.39,1500,0,0,0,5.446,0.006,4989.0,0.4559
349171,-163.05,1500,1,0,0,14.787,0.02,6166.1,0.1988
349672,136.21,501,2,0,1,49.374,0.0818,10295.5,0.3544
351172,-636.76,1500,0,0,0,0.059,0.7307,4994.2,0.1509
351387,19.59,215,1,0,1,55.288,0.0372,6582.8,0.2571
352503,864.36,1116,3,1,0,51.31,0.1039,15014.5,0.2928
353195,243.61,692,2,0,1,49.976,0.091,10506.2,0.2777
354295,807.44,1100,3,1,0,47.343,0.0855,15013.9,0.3212
355390,836.36,1095,3,1,0,50.22,0.1096,15013.6,0.2899
